exploration_constant,mcts_iterations,accuracy
10.0,5000,92.9
10.0,1000,94.19999999999999
10.0,500,95.7
10.0,100,96.1
5.0,5000,93.7
5.0,1000,93.5
5.0,500,93.30000000000001
5.0,100,96.0
3.0,5000,92.7
3.0,1000,94.19999999999999
3.0,500,95.1
3.0,100,95.7
2.0,5000,94.6
2.0,1000,94.89999999999999
2.0,500,96.6
2.0,100,97.8
1.5,5000,96.1
1.5,1000,96.2
1.5,500,96.39999999999999
1.5,100,96.6
1.0,5000,96.6
1.0,1000,96.5
1.0,500,96.7
1.0,100,97.6
0.5,5000,96.8
0.5,1000,96.7
0.5,500,98.0
0.5,100,97.7
0.0,5000,97.7
0.0,1000,98.0
0.0,500,97.89999999999999
0.0,100,98.3
